time,datetime,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1743094800000,2025-03-27 20:00:00,21.903,22.005,21.802,21.808,288318.0,1743098399999,6313721.43,25156,139288.0,3050142.797
1743098400000,2025-03-27 21:00:00,21.808,22.119,21.787,22.019,289479.0,1743101999999,6366339.777,23069,150098.0,3301642.676
1743102000000,2025-03-27 22:00:00,22.016,22.101,21.963,21.987,198529.0,1743105599999,4374579.161,16822,90321.0,1990219.866
1743105600000,2025-03-27 23:00:00,21.987,22.06,21.894,22.035,218436.0,1743109199999,4801084.834,16040,106041.0,2330910.225
1743109200000,2025-03-28 00:00:00,22.037,22.227,22.019,22.156,314236.0,1743112799999,6954092.508,17694,195344.0,4323560.336
1743112800000,2025-03-28 01:00:00,22.155,22.179,22.014,22.02,135618.0,1743116399999,2995460.546,12325,64548.0,1425716.935
1743116400000,2025-03-28 02:00:00,22.02,22.08,21.96,22.003,209887.0,1743119999999,4620313.629,14265,114258.0,2515278.279
1743120000000,2025-03-28 03:00:00,22.004,22.179,21.936,22.144,322051.0,1743123599999,7094315.257,22946,150052.0,3305876.902
1743123600000,2025-03-28 04:00:00,22.145,22.161,21.97,22.03,318423.0,1743127199999,7025095.684,20182,145129.0,3202077.566
1743127200000,2025-03-28 05:00:00,22.033,22.084,21.784,21.801,393944.0,1743130799999,8634958.337,20199,190162.0,4165783.617
1743130800000,2025-03-28 06:00:00,21.8,21.809,21.635,21.763,531467.0,1743134399999,11534288.64,27358,272301.0,5910096.748
1743134400000,2025-03-28 07:00:00,21.761,21.805,21.25,21.427,968715.0,1743137999999,20811628.916,55699,428094.0,9199510.278
1743138000000,2025-03-28 08:00:00,21.427,21.537,21.14,21.169,892837.0,1743141599999,19035788.841,47439,417637.0,8905238.382
1743141600000,2025-03-28 09:00:00,21.167,21.296,21.0,21.025,684659.0,1743145199999,14488398.054,39325,319585.0,6765630.185
1743145200000,2025-03-28 10:00:00,21.026,21.103,20.654,20.704,1301267.0,1743148799999,27136053.992,54472,580825.0,12114885.375
1743148800000,2025-03-28 11:00:00,20.703,20.796,20.568,20.647,530231.0,1743152399999,10966576.235,32891,286446.0,5926269.201
1743152400000,2025-03-28 12:00:00,20.647,20.679,20.418,20.421,529523.0,1743155999999,10873469.743,30785,246655.0,5065977.401
1743156000000,2025-03-28 13:00:00,20.422,20.579,20.324,20.346,638064.0,1743159599999,13041243.625,34414,252509.0,5163725.65
1743159600000,2025-03-28 14:00:00,20.347,20.579,20.118,20.542,1898552.0,1743163199999,38631043.032,73976,964904.0,19644692.5
1743163200000,2025-03-28 15:00:00,20.542,20.624,20.276,20.284,837275.0,1743166799999,17107473.022,47234,366498.0,7491178.232
1743166800000,2025-03-28 16:00:00,20.283,20.45,20.13,20.144,681821.0,1743170399999,13831913.15,40204,337194.0,6840560.36
1743170400000,2025-03-28 17:00:00,20.145,20.294,20.034,20.185,679581.0,1743173999999,13710538.014,42581,322933.0,6516841.501
1743174000000,2025-03-28 18:00:00,20.184,20.218,19.952,19.963,572886.0,1743177599999,11501023.475,34239,262627.0,5274652.93
1743177600000,2025-03-28 19:00:00,19.962,20.019,19.755,19.805,690350.0,1743181199999,13746727.076,42153,351483.0,7002692.389
1743181200000,2025-03-28 20:00:00,19.804,19.972,19.793,19.887,397885.0,1743184799999,7909588.455,29096,209345.0,4162149.851
1743184800000,2025-03-28 21:00:00,19.887,19.96,19.811,19.884,276457.0,1743188399999,5496354.47,23507,142575.0,2835042.704
1743188400000,2025-03-28 22:00:00,19.883,19.937,19.771,19.794,238969.0,1743191999999,4743933.473,20589,121069.0,2403529.936
1743192000000,2025-03-28 23:00:00,19.795,19.969,19.76,19.804,419315.0,1743195599999,8331706.589,27055,199629.0,3967160.143
1743195600000,2025-03-29 00:00:00,19.804,20.23,19.784,20.145,619879.0,1743199199999,12433104.655,36513,289847.0,5810697.355
1743199200000,2025-03-29 01:00:00,20.144,20.585,20.127,20.581,635992.0,1743202799999,12954231.726,37478,301931.0,6149670.878
1743202800000,2025-03-29 02:00:00,20.58,20.58,20.338,20.351,349022.0,1743206399999,7139521.019,21321,134058.0,2741767.26
1743206400000,2025-03-29 03:00:00,20.352,20.52,20.313,20.381,323570.0,1743209999999,6608029.035,23376,162574.0,3320367.799
1743210000000,2025-03-29 04:00:00,20.381,20.423,20.241,20.275,285300.0,1743213599999,5795612.988,22824,122783.0,2495012.513
1743213600000,2025-03-29 05:00:00,20.275,20.343,20.136,20.17,288748.0,1743217199999,5842961.622,20719,146770.0,2971193.949
1743217200000,2025-03-29 06:00:00,20.17,20.5,20.057,20.416,533664.0,1743220799999,10806032.613,36501,278649.0,5643460.068
1743220800000,2025-03-29 07:00:00,20.416,20.51,20.282,20.339,273174.0,1743224399999,5563171.344,21579,117486.0,2392476.659
1743224400000,2025-03-29 08:00:00,20.337,20.35,20.133,20.218,268629.0,1743227999999,5431861.325,18316,113464.0,2294035.691
1743228000000,2025-03-29 09:00:00,20.218,20.223,20.02,20.104,345807.0,1743231599999,6949826.865,24699,165114.0,3318948.289
1743231600000,2025-03-29 10:00:00,20.106,20.138,19.791,19.866,583222.0,1743235199999,11634293.941,35039,260363.0,5194026.903
1743235200000,2025-03-29 11:00:00,19.867,20.159,19.798,20.104,459516.0,1743238799999,9196209.417,30186,232936.0,4662886.676
